index,acre_lot,house_size,price
1,2.62,22774,7500000
2,0.11,10250,1200000
3,0.11,10250,1200000
4,0.11,10250,1200000
5,0.11,10250,1200000
6,0.11,10250,1200000
7,0.11,10250,1200000
8,0.11,10250,1200000
9,0.11,10250,1200000
10,0.11,10250,1200000
11,0.11,10250,1200000
12,17.7,5476,6595000
13,17.7,5476,6595000
14,4.75,16544,14000000
15,4.75,16544,14000000
16,0.12,5104,450000
17,0.12,5104,450000
18,0.12,5104,450000
19,0.12,5104,450000
20,0.12,5104,450000
21,0.12,5104,450000
22,0.12,5104,450000
23,0.12,5104,450000
24,0.12,5104,450000
25,0.3,6976,650000
26,0.3,6976,650000
27,0.3,6976,650000
28,0.3,6976,650000
29,0.3,6976,650000
30,0.3,6976,650000
31,0.3,6976,650000
32,0.3,6976,650000
33,0.3,6976,650000
34,0.3,6976,650000
35,0.3,6976,650000
36,0.3,6976,650000
37,0.3,6976,650000
38,0.3,6976,650000
39,0.36,5838,4500000
40,0.36,5838,4500000
41,0.36,5838,4500000
42,0.36,5838,4500000
43,0.15,8340,565000
44,0.06,4131,1275000
45,0.15,8340,565000
46,0.15,8340,565000
47,0.15,8340,565000
48,0.06,4131,1275000
49,0.15,8340,565000
50,0.06,4131,1275000
51,0.15,8340,565000
52,0.06,4131,1275000
53,0.15,8340,565000
54,0.15,8340,565000
55,0.06,4131,1275000
56,0.15,8340,565000
57,0.15,8340,565000
58,0.06,4131,1275000
59,0.06,4131,1275000
60,0.15,8340,565000
61,0.06,4131,1275000
62,0.15,8340,565000
63,0.06,4131,1275000
64,0.07,6184,519900
65,0.07,6184,519900
66,0.07,6184,519900
67,0.07,6184,519900
68,0.07,6184,519900
69,0.07,6184,519900
70,0.07,6184,519900
71,0.07,6184,519900
72,0.14,5740,475000
73,0.07,6184,519900
74,0.07,6184,519900
75,0.12,6307,399900
76,0.12,6307,399900
77,0.12,6307,399900
78,0.12,6307,399900
79,0.12,6307,399900
80,0.12,6307,399900
81,0.12,6307,399900
82,0.12,6307,399900
83,0.12,6307,399900
84,0.12,6307,399900
85,0.12,6307,399900
86,0.12,6307,399900
87,0.12,6307,399900
88,0.13,5922,549900
89,0.13,5922,549900
90,0.13,5922,549900
91,0.13,5922,549900
92,0.13,5922,549900
93,0.13,5922,549900
94,0.13,5922,549900
95,0.13,5922,549900
96,0.13,5922,549900
97,0.13,5922,549900
98,12.29,11672,7450000
99,12.29,11672,7450000
100,12.29,11672,7450000
101,12.29,11672,7450000
102,12.29,11672,7450000
103,12.29,11672,7450000
104,12.29,11672,7450000
105,12.29,11672,7450000
106,12.29,11672,7450000
107,0.14,6061,660000
108,0.14,6061,660000
109,0.14,6061,660000
110,0.14,6061,660000
111,0.14,6061,660000
112,0.14,6061,660000
113,0.14,6061,660000
114,0.14,6061,660000
115,0.08,4453,425000
116,0.08,4453,425000
117,0.1,5865,429900
118,0.08,4453,425000
119,0.1,5865,429900
120,0.08,4453,425000
121,0.08,4453,425000
122,0.08,4453,425000
123,0.1,5865,429900
124,0.1,5865,429900
125,0.1,5865,429900
126,0.08,4453,425000
127,0.1,5865,429900
128,0.1,5865,429900
