index,bed,bath,acre_lot,zip_code,house_size,price
1,31,27,2.62,2807,22774,7500000
2,27,9,0.11,2863,10250,1200000
3,27,9,0.11,2863,10250,1200000
4,27,9,0.11,2863,10250,1200000
5,27,9,0.11,2863,10250,1200000
6,27,9,0.11,2863,10250,1200000
7,27,9,0.11,2863,10250,1200000
8,27,9,0.11,2863,10250,1200000
9,27,9,0.11,2863,10250,1200000
10,27,9,0.11,2863,10250,1200000
11,27,9,0.11,2863,10250,1200000
12,16,9,17.7,2807,5476,6595000
13,16,9,17.7,2807,5476,6595000
14,14,17,4.75,2840,16544,14000000
15,14,17,4.75,2840,16544,14000000
16,14,4,0.12,2895,5104,450000
17,14,4,0.12,2895,5104,450000
18,14,4,0.12,2895,5104,450000
19,14,4,0.12,2895,5104,450000
20,14,4,0.12,2895,5104,450000
21,14,4,0.12,2895,5104,450000
22,14,4,0.12,2895,5104,450000
23,14,4,0.12,2895,5104,450000
24,14,4,0.12,2895,5104,450000
25,13,5,0.3,2860,6976,650000
26,13,5,0.3,2860,6976,650000
27,13,5,0.3,2860,6976,650000
28,13,5,0.3,2860,6976,650000
29,13,5,0.3,2860,6976,650000
30,13,5,0.3,2860,6976,650000
31,13,5,0.3,2860,6976,650000
32,13,5,0.3,2860,6976,650000
33,13,5,0.3,2860,6976,650000
34,13,5,0.3,2860,6976,650000
35,13,5,0.3,2860,6976,650000
36,13,5,0.3,2860,6976,650000
37,13,5,0.3,2860,6976,650000
38,13,5,0.3,2860,6976,650000
39,12,13,0.36,2840,5838,4500000
40,12,13,0.36,2840,5838,4500000
41,12,13,0.36,2840,5838,4500000
42,12,13,0.36,2840,5838,4500000
43,12,6,0.15,2860,8340,565000
44,12,6,0.06,2906,4131,1275000
45,12,6,0.15,2860,8340,565000
46,12,6,0.15,2860,8340,565000
47,12,6,0.15,2860,8340,565000
48,12,6,0.06,2906,4131,1275000
49,12,6,0.15,2860,8340,565000
50,12,6,0.06,2906,4131,1275000
51,12,6,0.15,2860,8340,565000
52,12,6,0.06,2906,4131,1275000
53,12,6,0.15,2860,8340,565000
54,12,6,0.15,2860,8340,565000
55,12,6,0.06,2906,4131,1275000
56,12,6,0.15,2860,8340,565000
57,12,6,0.15,2860,8340,565000
58,12,6,0.06,2906,4131,1275000
59,12,6,0.06,2906,4131,1275000
60,12,6,0.15,2860,8340,565000
61,12,6,0.06,2906,4131,1275000
62,12,6,0.15,2860,8340,565000
63,12,6,0.06,2906,4131,1275000
64,12,5,0.07,2861,6184,519900
65,12,5,0.07,2861,6184,519900
66,12,5,0.07,2861,6184,519900
67,12,5,0.07,2861,6184,519900
68,12,5,0.07,2861,6184,519900
69,12,5,0.07,2861,6184,519900
70,12,5,0.07,2861,6184,519900
71,12,5,0.07,2861,6184,519900
72,12,5,0.14,2863,5740,475000
73,12,5,0.07,2861,6184,519900
74,12,5,0.07,2861,6184,519900
75,12,4,0.12,2895,6307,399900
76,12,4,0.12,2895,6307,399900
77,12,4,0.12,2895,6307,399900
78,12,4,0.12,2895,6307,399900
79,12,4,0.12,2895,6307,399900
80,12,4,0.12,2895,6307,399900
81,12,4,0.12,2895,6307,399900
82,12,4,0.12,2895,6307,399900
83,12,4,0.12,2895,6307,399900
84,12,4,0.12,2895,6307,399900
85,12,4,0.12,2895,6307,399900
86,12,4,0.12,2895,6307,399900
87,12,4,0.12,2895,6307,399900
88,12,3,0.13,2907,5922,549900
89,12,3,0.13,2907,5922,549900
90,12,3,0.13,2907,5922,549900
91,12,3,0.13,2907,5922,549900
92,12,3,0.13,2907,5922,549900
93,12,3,0.13,2907,5922,549900
94,12,3,0.13,2907,5922,549900
95,12,3,0.13,2907,5922,549900
96,12,3,0.13,2907,5922,549900
97,12,3,0.13,2907,5922,549900
98,11,12,12.29,2809,11672,7450000
99,11,12,12.29,2809,11672,7450000
100,11,12,12.29,2809,11672,7450000
101,11,12,12.29,2809,11672,7450000
102,11,12,12.29,2809,11672,7450000
103,11,12,12.29,2809,11672,7450000
104,11,12,12.29,2809,11672,7450000
105,11,12,12.29,2809,11672,7450000
106,11,12,12.29,2809,11672,7450000
107,11,9,0.14,2860,6061,660000
108,11,9,0.14,2860,6061,660000
109,11,9,0.14,2860,6061,660000
110,11,9,0.14,2860,6061,660000
111,11,9,0.14,2860,6061,660000
112,11,9,0.14,2860,6061,660000
113,11,9,0.14,2860,6061,660000
114,11,9,0.14,2860,6061,660000
115,11,4,0.08,2895,4453,425000
116,11,4,0.08,2895,4453,425000
117,11,4,0.1,2863,5865,429900
118,11,4,0.08,2895,4453,425000
119,11,4,0.1,2863,5865,429900
120,11,4,0.08,2895,4453,425000
121,11,4,0.08,2895,4453,425000
122,11,4,0.08,2895,4453,425000
123,11,4,0.1,2863,5865,429900
124,11,4,0.1,2863,5865,429900
125,11,4,0.1,2863,5865,429900
126,11,4,0.08,2895,4453,425000
127,11,4,0.1,2863,5865,429900
128,11,4,0.1,2863,5865,429900
129,11,4,0.08,2895,4453,425000
130,11,4,0.1,2863,5865,429900
131,11,4,0.08,2895,4453,425000
132,11,4,0.1,2863,5865,429900
133,11,4,0.1,2863,5865,429900
134,11,4,0.1,2863,5865,429900
135,11,4,0.1,2863,5865,429900
136,10,9,0.97,2906,17203,3250000
137,10,9,0.97,2906,10822,3995000
138,10,9,0.97,2906,10822,3995000
139,10,9,0.97,2906,17203,3250000
140,10,9,0.97,2906,10822,3995000
141,10,9,0.97,2906,17203,3250000
142,10,9,0.97,2906,10822,3995000
143,10,9,0.97,2906,17203,3250000
144,10,9,0.97,2906,10822,3995000
145,10,9,0.97,2906,17203,3250000
146,10,9,0.97,2906,10822,3995000
147,10,9,0.97,2906,17203,3250000
148,10,9,0.97,2906,10822,3995000
149,10,9,0.97,2906,17203,3250000
150,10,9,0.97,2906,10822,3995000
151,10,9,0.97,2906,17203,3250000
152,10,9,0.97,2906,10822,3995000
153,10,9,0.97,2906,17203,3250000
154,10,9,0.97,2906,10822,3995000
155,10,9,0.97,2906,10822,3995000
156,10,9,0.97,2906,17203,3250000
157,10,8,0.15,2840,4346,3450000
158,10,8,0.15,2840,4346,3450000
159,10,8,0.15,2840,4346,3450000
160,10,8,0.15,2840,4346,3450000
161,10,8,0.15,2840,4346,3450000
162,10,6,0.15,2860,5358,619000
163,10,6,0.15,2860,5358,619000
164,10,6,0.15,2860,5358,619000
165,10,6,0.15,2860,5358,619000
166,10,6,0.15,2860,5358,619000
167,10,6,0.15,2860,5358,619000
168,10,6,0.15,2860,5358,619000
169,10,6,0.15,2860,5358,619000
170,10,6,0.15,2860,5358,619000
171,10,6,0.15,2860,5358,619000
172,10,4,0.3,2895,6414,445000
173,10,4,0.11,2895,6798,425000
174,10,4,0.3,2895,6414,445000
175,10,4,0.09,2908,4896,569000
176,10,4,0.2,2861,4680,529900
177,10,4,0.09,2909,4768,399900
178,10,4,0.11,2895,6798,425000
179,10,4,0.2,2905,7068,589000
180,10,4,0.22,2910,6520,575000
181,10,4,0.43,2917,6840,529900
182,10,4,0.3,2895,6414,445000
183,10,4,0.2,2861,4680,529900
184,10,4,0.11,2895,6798,425000
185,10,4,0.3,2895,6414,445000
186,10,4,0.2,2861,4680,529900
187,10,4,0.11,2895,6798,425000
188,10,4,0.43,2917,6840,529900
189,10,4,0.3,2895,6414,445000
190,10,4,0.11,2895,6798,425000
191,10,4,0.3,2895,6414,445000
192,10,4,0.2,2861,4680,529900
193,10,4,0.11,2895,6798,425000
194,10,4,0.43,2917,6840,529900
195,10,4,0.3,2895,6414,445000
196,10,4,0.11,2895,6798,425000
197,10,4,0.3,2895,6414,445000
198,10,4,0.11,2895,6798,425000
199,10,4,0.09,2908,4896,569000
200,10,4,0.2,2861,4680,529900
201,10,4,0.09,2909,4768,399900
202,10,4,0.2,2905,7068,589000
203,10,4,0.22,2910,6520,575000
204,10,4,0.09,2908,4896,569000
205,10,4,0.2,2861,4680,529900
206,10,4,0.09,2909,4768,399900
207,10,4,0.2,2905,7068,589000
208,10,4,0.22,2910,6520,575000
209,10,4,0.3,2895,6414,445000
210,10,4,0.09,2908,4896,569000
211,10,4,0.2,2861,4680,529900
212,10,4,0.09,2909,4768,399900
213,10,4,0.11,2895,6798,425000
214,10,4,0.2,2905,7068,589000
215,10,4,0.43,2917,6840,529900
216,10,4,0.2,2861,4680,529900
217,10,4,0.11,2895,6798,425000
218,10,4,0.43,2917,6840,529900
219,10,4,0.3,2895,6414,445000
220,10,4,0.09,2908,4896,569000
221,10,4,0.2,2861,4680,529900
222,10,4,0.09,2909,4768,399900
223,10,4,0.11,2895,6798,425000
224,10,4,0.2,2905,7068,589000
225,10,4,0.22,2910,6520,575000
226,10,4,0.43,2917,6840,529900
227,10,4,0.3,2895,6414,445000
228,10,4,0.09,2908,4896,569000
229,10,4,0.2,2861,4680,529900
230,10,4,0.09,2909,4768,399900
231,10,4,0.11,2895,6798,425000
232,10,4,0.2,2905,7068,589000
233,10,4,0.43,2917,6840,529900
234,10,4,0.09,2908,4896,569000
235,10,4,0.2,2861,4680,529900
236,10,4,0.09,2909,4768,399900
237,10,4,0.2,2905,7068,589000
238,10,4,0.43,2917,6840,529900
239,10,4,0.09,2908,4896,569000
240,10,4,0.09,2909,4768,399900
241,10,4,0.2,2905,7068,589000
242,10,4,0.22,2910,6520,575000
243,10,4,0.43,2917,6840,529900
244,10,4,0.3,2895,6414,445000
245,10,4,0.11,2895,6798,425000
246,10,4,0.43,2917,6840,529900
247,10,4,0.16,2863,4800,649900
248,10,4,0.2,2861,4680,529900
249,10,4,0.3,2895,6414,445000
250,10,4,0.09,2908,4896,569000
251,10,4,0.2,2861,4680,529900
